HF_FNCLTY_MTRAL_RCOGN_NO,PRMS_DT,BSSH_NM,INDUTY_NM,ADDR,APLC_RAWMTRL_NM,FNCLTY_CN,DAY_INTK_CN,IFTKN_ATNT_MATR_CN,_FETCH_IDX
2008-54,20081004,(주)지텍뉴트리언스,건강기능식품수입업,"서울특별시 서초구 방배로26길 16(3층 방배동, 숭산빌딩)",Rain Nutrience DistilPureTM MSM,관절건강에 도움이 될 수 있습니다(기타기능II),MSM로서 1.5~2.0g,본 제품은 관절건강에 도움을 줄 수 있으나 치료의 목적으로 사용될 수 없습니다.,1
2009-32,20090408,뉴트리펀코리아컨설팅,건강기능식품수입업,경기도 고양시 일산동구 장항동 757 외2 경기벤처빌딩 고양센터 519A,가르시니아 캄보지아 추출물,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 I),"총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,1
2009-80,20091021,에이치씨엔,,"경기도 성남시 분당구 정자일로 1(금곡동,코오롱트리폴리스C동 907호)",자일로올리고당(xylooligosaccharide) 분말,"“장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음”(기타기능II",자일로올리고당으로서 0.7~7.5g,1) 과량으로 섭취 시 설사를 유발할 수도 있습니다.,1
2009-78,20091015,(주)경희매니지먼트컴퍼니,건강기능식품수입업,서울특별시 동대문구 회기로 111(지하1층 회기동),홍경천추출물 KH101,“스트레스로 인한 피로개선에 도움을 줄 수 있음”(기타기능II),홍경천추출물로서 200~600mg/day,"1) 영.유아, 임산부, 수유부는 섭취에 주의하시기 바랍니다. 
2) 알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담하시기 바랍니다.",1
2009-81,20091021,에이치씨엔,,"경기도 성남시 분당구 정자일로 1(금곡동,코오롱트리폴리스C동 907호)",자일로올리고당(xylooligosaccharide) 액상,"“장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음”(기타기능II)",자일로올리고당으로서 0.7~7.5 g,1) 과량으로 섭취 시 설사를 유발할 수도 있습니다.,1
2009-82,20091019,주영엔에스(주),건강기능식품수입업,"서울특별시 서초구 사임당로1길 15(서초동,소담빌딩 3층)",가르시니아 캄보지아 껍질추출물,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 I),"총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,1
2009-84,20091103,모네이쳐,건강기능식품수입업,"경기도 부천시 원미구 길주로 325(304호 중동, 리치타운 오피스텔)",파크랜 크랜베리 분말(PACranTM Whole Cranberry Powder),“요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음”(기타기능II),“파크랜 크랜베리 분말” 로서 500~1000 mg/일,"1) 와파린, 쿠마딘 등 항응고제, 오메프라졸 등의 위산분비 억제제와 함께 섭취하지 마십시오
2) 제안된 섭취량 이상 과잉 복용할 경우 설사가 있을 수 있으므로, 정해진 섭취량을 준수하여 주십시오",1
2010-29,20100712,아사히고도(주)서울영업소,건강기능식품수입업,서울특별시 송파구 중대로 150(601호 가락동),밀크씨슬추출물,“간 건강에 도움을 줄 수 있음” (기타기능II),Silymarin으로서 130mg,"1) 알레르기 반응이 나타나는 경우에는 섭취를 중단하십시오
2) 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취를 주의 하십시오",1
2014-22,20140522,(주)에이치엘사이언스,,경기도 화성시 봉담읍 동산재길 36 114-2,석류농축액,"갱년기 여성의 건강에 도움을 줄 수 있음, 피부 보습에 도움을 줄 수 있음",석류농축액으로서 13.3 g/일,"1) 어린이, 임산부와 수유부는 섭취를 피하는 것이 좋습니다.
2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의하시기 바랍니다.",1
2013-30,20131017,(주)뉴트리,수입식품등 수입ㆍ판매업,서울특별시 송파구 백제고분로27길 6-14,저분자콜라겐펩타이드,관절 및 연골 건강에 도움을 줌,저분자콜라겐펩타이드로서 3000~4000 mg/일,임산부와 수유부는 섭취에 주의하시기 바랍니다.,1
2014-19,20140514,(주)미래바이오텍,수입식품등 수입ㆍ판매업,경기도 포천시 거친봉이길 58-17 (무봉리),감마리놀렌산함유유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급),감마리놀렌산으로서 210 ～ 300 mg/일,-,1
2009-68,20090803,(주)대덕약업,건강기능식품수입업,경기도 수원시 팔달구,가르시니아 캄보지아 껍질추출물,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 I),"총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,1
2010-57,20101124,주영엔에스(주),건강기능식품수입업,"서울특별시 서초구 사임당로1길 15(서초동,소담빌딩 3층)",은행잎추출물,1) 성인의 기억력 개선에 도움을 줄 수 있음 (기타기능II) 2) 혈행 개선에 도움을 줄 수 있음 (기타기능II),은행잎 추출물로서 120 mg/일,"1) 어린이, 임산부와 수유부는 섭취에 주의
2) 수술 전후에는 섭취에 주의 
3) 항응고제 복용시 섭취에 주의 
4) 질환자의 경우 섭취 전에 의사와 상담하시기 바람",1
2007-8,20070130,파인생명공학,수입식품등 수입ㆍ판매업,경기도 광주시 곤지암읍 신만로 358-2 2동 202호,솔잎 증류 농축액,"""건강한 혈당의 유지에 도움을 줄 수 있음"" (기타기능II)",.,"기관지 천식, 해소 기침이나 기도에 심한 염증이 있는 사람은 사용을 금하시기 바랍니다.",1
2007-11,20070223,한국암웨이(주),건강기능식품수입업,서울특별시 강남구 테헤란로 518(대치동),토치대두발효추출물,“‘토치대두발효추출물’은 발효시킨 콩을 추출한 것으로 당의 흡수를 억제하여 식후혈당을 건강하게 유지하는데 도움을 줄 수 있는 식품입니다.“(기타기능 II),.,,1
2005-3,20050211,(주)웰니스바나바,식품등 수입판매업,"경기도 고양시 일산서구 일중로 17(303호 일산동, 포오스프라자)",바나바주정추출물,혈당 조절에 도움을 줄 수 있음(기타기능II),바나바주정추출물로서 50～100 mg/일,당뇨병의 치료 및 예방의 목적으로 사용될 수 없음,1
2010-33,20100706,(주)지엠피바이오,건강기능식품전문제조업,서울특별시 강남구 삼성로76길 23 2층,지각상엽추출혼합물,혈당 조절에 도움을 줄 수 있음 (기타기능II),지각상엽 추출 혼합물로서 2.8 g/일,1) 피부에 광과민성 반응이 나타나는 사람은 섭취에 주의,1
2014-31,20140717,주영엔에스(주),,서울특별시 송파구 송파대로 201 문정동(테라타워 II A동 1404~1410호),그린커피빈추출물,"체지방 감소에 도움을 줄 수 있음
(생리활성기능 2등급)",그린커피빈추출물 로서 400 mg/일,"1) 임산부와 수유기 여성, 유아, 어린이는 섭취에 주의
2) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음",1
2016-18,20160928,파이코일바이오텍코리아(주),건강기능식품전문제조업,충청남도 공주시 월미농공단지길 67,EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음,EPA와 DHA의 합으로서 0.6~1 g/일,-,1
2014-41,20140828,아사히고도(주)서울영업소,건강기능식품수입업,서울특별시 성동구 성수일로8길 5 에이동 612호,EPA 및 DHA 함유 유지,"기억력 개선에 도움을 줄 수 있음
 (생리활성기능 2등급)",DHA와 EPA의 합으로서 0.9 ～ 2 g/일,「건강기능식품 기능성 원료 및 기준․규격  인정에 관한 규정」 제10조제2항에 따라 「건강기능식품의 기준 및 규격」에 고시 예정임,1
2013-26,20130827,(주)온사이언스,건강기능식품수입업,경기도 시흥시 정왕동 산기대학로 237 506호 한국산업기술대학 기술혁신파크,도라지추출물,간 건강에 도움을 줄 수 있음(생리활성기능 2등급),도라지추출물로서 3 g/일,"1) 임산부, 수유부 섭취에 주의
2) 알레르기 체질이거나 특정질환이 있는 분은 의사와 상담 후 섭취",1
2010-1,20100108,(주)레이델코리아,수입식품등 수입ㆍ판매업,"서울특별시 서초구 강남대로39길 15-10 2층, 205호 (서초동, 한라비발디스튜디오)",비즈왁스알코올,1) 항산화에 도움을 줄 수 있음 2) 위점막을 보호하여 위건강에 도움을 줄 수 있음 3) 관절건강에 도움을 줄 수 있음,1) 항산화 : 비즈왁스알코올로서 50~100 mg/일 2) 위건강 : 비즈왁스알코올로서 100 mg/일 3) 관절건강 : 비즈왁스알코올로서 50~100 mg/일,"1) 어린이, 임산부 및 수유부는 섭취 시 주의하시기 바랍니다.",1
2008-18,20080328,한국암웨이(주),,"서울특별시 강남구 삼성동 영동대로 517 (삼성동, 아셈타워)",토치대두발효추출물,"“콩발효추출물은 발효시킨 콩을 추출한 것으로 당의 흡수를 억제하여 식후혈당을 건강하게 유지하는데 도움을 줄 수 있는 식품입니다."" (기타기능 II)",900mg,-,1
2010-66,20101231,(주)주피터인터내셔널,건강기능식품수입업,서울특별시 서초구 바우뫼로43길 22(양재동),은행잎추출물,"성인의 기억력 개선에 도움을 줄 수 있음 (기타기능II)
혈행 개선에 도움을 줄 수 있음 (기타기능II)",은행잎 추출물로서 120 mg/일,"① 어린이, 임산부와 수유부는 섭취에 주의하시기 
   바랍니다.
② 수술 전후에는 섭취에 주의하시기 바랍니다. 
③ 항응고제 복용시 섭취에 주의하시기 바랍니다. 
④ 질환자의 경우 섭취 전에 의사와 상담하여 주시기     바랍니다.",1
2004-2,20040702,다니스코뉴트리션앤드바이오싸이언스코리아 유한회사,수입식품등 수입ㆍ판매업,"서울특별시 강남구 논현로 430(지상4층 역삼동, 아세아타워)",자일리톨,"◆ “충치발생위험감소”
◆ “자일리톨은 충치발생위험감소에 도움을 줍니다.”
◆ “자일리톨은 플라그 감소, 산생성 억제, 충치균 성장을 저해시켜 충치발생위험을 감소시킬 수 있습니다.”

  ※ 다수의 인체시험을 통하여 구강내의 플라그감소, 산생성억제, 충치균성장 억제의 기능으로 충치발생위험을 감소시킴이 확인되었음",자일리톨로서,"◆ 당류와 전분류의 함량이 높은 간식을 자주 섭취하면 충치발생위험이 높아집니다.
◆ 자일리톨을 일시에 40g 이상의 과량을 섭취할 경우에는 복부팽만감 등의 불쾌감을 느낄 수 있습니다.",1
2004-3,20040731,씨제이(주),건강기능식품수입업,서울특별시 중구,씨제이 테아닌등 복합추출물,"“기억력 개선에 도움을 줄 수도 있으나 아직은 과학적 근거가 부족합니다”

(동물시험을 통하여 기억력을 개선시키는 데 도움이 됨을 확인하였으나 인체시험에서는 확인되지 않았음)",.,"테아닌은 카페인과 길항작용이 있으므로 섭취시 카페인 함유음료(커피, 홍차, 녹차)의 섭취를 삼가하시기 바랍니다.",1
2004-7,20040903,씨제이웰케어,수입식품등 수입ㆍ판매업,서울특별시 중구 동호로 330,씨제이 히비스커스 등 복합추출물,"""OOO*은 체지방 감소에 도움을 줄 수 있습니다.""
◆ *OOO: ‘씨제이히비스커스복합추출물’이 섭취량 이상 함유된 제품명
◆ 인체시험에서 체지방 감소에 도움을 줄 수 있음을 확인하였으나 자료의 수가 제한되어 있음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.",‘씨제이히비스커스등복합추출물’로서,체지방 감소는 반드시 식사조절과 운동이 병행되어야 효과적입니다.,1
2004-8,20041022,(주)씨스팡,건강기능식품벤처제조업,"서울특별시 강남구 테헤란로 322 동관 19층(역삼동, 한신인터밸리24)",초록입홍합추출오일복합물,관절건강에 도움이 될 수 있습니다.,620mg,？ 혈전용해제를 복용하시는 분은 의사와 상담하여 주시기 바랍니다.,1
2009-34,20090408,(주)네이쳐팜,건강기능식품수입업,서울특별시 영등포구 당산로38길 12-1(당산동4가),가르시니아 캄보지아 껍질추출물 60HCA,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 I),"총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,1
2009-37,20090416,(주)삼오제약,건강기능식품수입업,서울특별시 강남구 역삼동 751-10   삼오빌딩 6층,밀크씨슬추출물,“간 건강에 도움을 줄 수 있으나 인체시험을 통한 확인이 필요함” (기타기능II),Silymarin으로서 130mg,"1) 알레르기 반응이 나타나는 경우에는 섭취를 중단하십시오
2) 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취를 주의 하십시오",1
2009-47,20090605,씨제이제일제당(주),,서울특별시 중구 동호로 330,콜레우스 포스콜리 추출물 Forslean,체지방 감소에 도움을 줄 수 있습니다(기타기능II),콜레우스 포스콜리 추출물로서 500mg/일,"1) 항응고제 또는 혈압조절제를 복용하시거나 혈압이 낮으신 분은 섭취에 주의
2) 임산부, 수유여성, 어린이는 섭취에 주의",1
2009-56,20090605,(주)네이쳐팜,건강기능식품수입업,서울특별시 영등포구 당산로38길 12-1(당산동4가),가르시니아 캄보지아 껍질추출물 60HCA MP,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 I),"총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,1
2008-55,20081003,농업회사법인 주식회사 생명의나무,건강기능식품벤처제조업,경기도 수원시 권선구 매송고색로 634-21,헛개나무과병추출분말,"알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음(생리활성기능 2등급), 운동능력 향상에 도움을 줄 수 있음(생리활성기능 2등급), 스트레스로 인한 피로 개선에 도움을 줄 수 있음(생리활성기능 2등급)",헛개나무 과병 추출 분말로서 2.460mg/일,-,1
2009-66,20090807,씨제이웰케어,수입식품등 수입ㆍ판매업,서울특별시 중구 동호로 330 씨동 102호,쌀겨추출물,피부보습에 도움을 줄 수 있음(기타II),쌀겨추출물로서 10~34mg/일,1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,1
2008-3,20080111,씨제이제일제당(주),건강기능식품수입업,서울특별시 중구 동호로 330(쌍림동),가르시니아캄보지아껍질추출물 HCA-600-SXS,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다(기타Ⅰ)”,"총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,1
2008-41,20080808,뉴트리펀코리아컨설팅,건강기능식품수입업,경기도 고양시 일산동구 장항동 757 외2 경기벤처빌딩 고양센터 519A,쏘팔메토 열매 초임계추출물,“쏘팔메토 열매추출물은 전립선 건강의 유지에 도움을 줄 수 있습니다.”,쏘팔메토 열매추출물로서 320mg,"1) 임산부, 수유여성은 섭취에 주의
2) 매스꺼움이나 설사 등 소화계통의 불편함을 유발할 수 있음",1
2008-44,20080826,한국암웨이(주),건강기능식품수입업,서울특별시 강남구 테헤란로 518(대치동),KANEKA Q10,"""코엔자임 Q10은 혈압이 높은 사람에게 도움을 줄 수 있습니다."" (기타기능II)",90~100mg,-,1
2010-45,20101026,아사히고도(주)서울영업소,건강기능식품수입업,서울특별시 송파구 중대로 150(601호 가락동),Dimethylsulfone(MSM),관절 건강에 도움을 줄 수 있음(기타기능II),메틸설포닐메탄(Methylsulfonylmethane; MSM) 으로서 1.5～2.0 g/일,-,1
2010-7,20100209,롯데제과(주),건강기능식품수입업,경기도 화성시 제약공단4길 74,Green Mate Extract EFLA® 920,“체지방 감소에 도움을 줄 수 있습니다”(기타기능II),Green Mate Extract EFLA? 920로서 3 g/일,"1) 어린이, 임산부 및 수유부는 섭취를 피할 것
2) 질환이 있거나 의약품 목용시 전문가와 상담할 것
3) 카페인을 함유한 식품의 섭취에 주의할 것
4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",1
2015-17,20150430,(주)헬릭스미스,건강기능식품벤처제조업,서울특별시 강서구 마곡중앙8로7길 21 (마곡동),천마 등 복합추출물(HX106),기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급),천마 등 복합추출물(HX106)으로서 1.1 g/일,1) 임산부 및 수유부는 섭취에 주의,1
2015-24,20151104,(주)화인비에스,건강기능식품수입업,서울특별시 성동구 성수일로4길 25 308호,EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급),EPA와 DHA의 합으로서 0.6~1 g/일,-,1
2014-29,20140703,영암녹색무화과(주),수입식품등 수입ㆍ판매업,전라남도 영암군 난대길 42-1,무화과페이스트,"배변활동 원활에 도움을 줄 수 있음
(생리활성기능 2등급)",신청원료로서 300 g/일,"1) 무화과에 알레르기를 나타내는 사람은 섭취에 주의
2) 과다 섭취 시 일시적인 복부팽만감을 느낄 수 있음",1
2011-36,20111104,(주)대덕약업,건강기능식품일반판매업,경기도 안양시 동안구 호계동 1052번지 1통 2반 목련아파트 202동 601호,홍경천추출물,“스트레스로 인한 피로개선에 도움을 줄 수 있음”(생리활성기능 2등급),홍경천추출물로서 200～600 mg,-,1
2014-3,20140129,서해수산,식품등 수입판매업,서울특별시 노원구 상계동 71-63,초록입홍합추출오일,"관절건강에 도움을 줄 수 있음
(생리활성기능 2등급)",초록입홍합추출오일로서 200 mg/일,혈전용해제를 복용하시는 분은 의사와 상담 후 섭취,1
2009-51,20090605,뉴트리펀코리아컨설팅,건강기능식품수입업,경기도 고양시 일산동구 장항동 757 외2 경기벤처빌딩 고양센터 519A,루테인복합물VBAF,“루테인은 노화로 인해 감소될 수 있는 황반색소밀도를 유지시켜 주어 눈건강에 도움을 줍니다.(기타 I등급)”,루테인으로써 10~20mg,"1) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있습니다.
2) 임산부는 섭취 전 의사와 상담이 필요합니다.-
3) 식품에 알레르기가 있으신 분은 섭취 전 포장에 표시된 원료 명칭을 확인하시기 바랍니다.
4) 병원에서 치료 중이신 분, 다른 약품을 섭취 중이신 분, 임산부, 수유부는 섭취 전 의사와 상담하시기 바랍니다.",1
2009-17,20090226,씨제이웰케어,수입식품등 수입ㆍ판매업,서울특별시 중구 동호로 330 쌍림동,보이차 추출물,“혈중 콜레스테롤 개선에 도움을 줄 수 있습니다.”(기타기능 II),보이차 추출물로서 1g,"1) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음
2) 임산부, 수유여성, 어린이, 알레르기성 질환보유자, 질병치료 중인 환자는 섭취에 주의",1
2016-14,20160823,(주)나암에스앤에이치,건강기능식품수입업,서울특별시 마포구 성암로 223-1(1층 상암동),EPA 및 DHA 함유유지,기억력 개선에 도움을 줄 수 있음,EPA와 DHA의 합으로서 0.9~2g/일,-,1
2010-40,20100830,(주)에이치엘사이언스,수입식품등 수입ㆍ판매업,경기도 화성시 봉담읍 동산재길 36,석류농축액,갱년기 여성의 건강에 도움을 줄 수 있음(생리활성기능 2등급),석류농축액으로서 40 ml/일,"1) 어린이, 임산부와 수유부는 섭취를 피하는 것이 좋습니다.
2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의 하시기 바랍니다.",1
2016-9,20160615,(주)에프앤디넷,건강기능식품수입업,"서울특별시 송파구 송이로 79(가락동,진성빌딩 3층)",EPA 및 DHA 함유유지,기억력 개선에 도움을 줄 수 있음,EPA와 DHA의 합으로서 0.9~2g/일,-,1
2016-8,20160615,대상(주),건강기능식품수입업,"서울특별시 동대문구 천호대로 26(4층 신설동, 대상빌딩)",EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음,EPA와 DHA의 합으로서 0.6~1 g/일,-,1
2014-7,20140219,주영엔에스(주),,"서울특별시 송파구 송파대로 201 문정동(테라타워 II, A동 1404~1410호)",보이차추출물,1) 체지방 감소에 도움을 줄 수 있음 2) 혈중 콜레스테롤 개선에 도움을 줄 수 있음,신청원료로서 1 g/일,"1) 카페인이 함유되어 있어 초조감, 불면 등을 나타 낼 수 있음
2) 임산부, 수유여성, 어린이, 질병치료 중인 환자는 섭취에 주의",1
